가맹점구분번호,가맹점명,가맹점주소,가맹점지역,브랜드구분코드,업종,상권,개설일,폐업일,comp_intensity,market_churn_rate_4w,same_industry_sales_ratio,customer_fit_score,avg_survival_months,Δsales_4w,sales_volatility_4w,risk_score_xgb
16184E93D9,성우**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20130320,,2.993027121,-0.0111420613,0.94295302,5.434981416,671.5334262,-0.0125089587,0.0506624419,0.0012664951
4D039EA8B7,대보**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20131122,,2.993892226,-0.0139275766,0.810810811,10.6783755,669.6417827,-0.104116373,0.0621861056,0.0007562192
0074C4990A,대용**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20140512,,2.995790557,-0.0257234727,0.693857965,14.71639918,661.6311897,0.0137618579,0.0590504972,0.0028420894
68308F2746,통일**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20151124,,2.993892226,-0.0138888889,0.931005819,76.49945163,669.6680556,0.111464236,0.0617510737,0.0015261852
4117EDDE9C,한울**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20151211,,2.995165656,-0.0252365931,1.398113208,22.55523944,661.9618297,0.0174225103,0.0118434976,0.035627563
281CA527F1,대광**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20170222,,2.995596238,-0.0261437908,1.163708087,21.10233945,661.3457516,0.128408786,0.0853207557,0.043092158
9A71D71270,미림**,서울 성동구 마장동,서울 성동구,,식품 제조,마장동,20170817,,-0.729324957,-0.0111420613,1.212765957,90.81846834,671.5334262,-0.0125089587,0.0506624419,0.0014962158
761947ABD9,호남*,서울 성동구 마장동,서울 성동구,,한식-육류/고기,마장동,20130531,,0.0599162693,-0.0262295082,0.360706861,13.45604169,661.287541,-0.000356881052,0.020954284,0.0031341163
145BA84596,고향***,서울 성동구 사근동,서울 성동구,,한식-찌개/전골,한양대,20140618,,0.564164815,-0.0415335463,1.193548387,13.00987504,650.8945687,0.0221382123,0.0645234985,0.010225484
27C88660A5,북*,서울 성동구 송정동,서울 성동구,,중식당,장한평자동차,20141217,,-0.730409157,-0.0731707317,1.504761905,7.317594487,629.4097561,-0.000356881052,0.020954284,0.056014884
BAACCE3A2C,좋은**,서울 성동구 용답동,서울 성동구,,식료품,장한평자동차,20130305,,-0.970569042,-0.0392156863,1.112903226,28.21132912,652.4686275,-0.042302106,0.0180953167,9.83E-05
BE3EAEA415,별난**,서울 성동구 용답동,서울 성동구,,한식-국수/만두,답십리,20140107,,-0.229415734,-0.0354609929,1.614906832,13.39975008,655.0184397,-0.027293338,0.0171074869,0.016888402
01AAD3CFFA,행당**,서울 성동구 행당동,서울 성동구,,식료품,왕십리,20160513,,1.069708435,-0.025682183,1.088631985,22.67465686,661.6592295,-0.0280551262,0.0143118193,0.0037992387
C3E6D8B14F,이혜*******,서울 성동구 행당동,서울 성동구,,인삼제품,행당,20131216,,-0.136082763,-0.0331125828,1.1,52.13251181,656.613245,-0.0132450331,0.00878111618,0.0015094114
E606947836,정*,서울 성동구 홍익동,서울 성동구,,중식당,왕십리,20150918,,0.862461636,-0.0167664671,1.983471074,19.70342321,667.7138922,0.00163675391,0.00629632224,0.0069256257
E863289A7D,조은**,서울 성동구 홍익동,서울 성동구,,한식-단품요리일반,왕십리,20150116,,1.244493203,-0.0185643564,1.013100437,6.954159147,666.4929455,0.0147240957,0.0127372935,0.0063229455
B584924DB0,왕십****,서울 성동구 행당1동,서울 성동구,,식품 제조,왕십리,20140828,,-0.0729324957,-0.0167664671,1.010638298,29.8184147,667.7138922,0.00163675391,0.00629632224,0.34619078
2344622681,광한******,서울  성동구  도선동,서울 성동구,,한식-해물/생선,왕십리,20110502,,1.716790151,-0.0217948718,0.976744186,19.39255977,664.2991026,0.00705030785,0.00488688522,0.004433435
3E35A71757,멕시*****,서울  성동구  마장동,서울 성동구,치킨19,치킨,마장동,20050830,,-0.685085019,-0.0138888889,1.366396761,14.60579886,669.6680556,0.111464236,0.0617510737,0.037583746
