업종,클러스터 ID,PC1 평균 (X),PC2 평균 (Y),경쟁 그룹 수,선택된 K,silhouette,클러스터명
건강식품,Cluster 1,-2.987290085,0.898561087,3,2,0.49934828,
건강식품,Cluster 2,0.995763362,-0.299520362,9,2,0.49934828,
기타세계요리,Cluster 1,-0.518034205,0.165665093,6,4,0.362573924,
기타세계요리,Cluster 2,0.010626123,3.466035155,1,4,0.362573924,
기타세계요리,Cluster 3,-3.397373551,-1.786622296,1,4,0.362573924,
기타세계요리,Cluster 4,1.623738164,-0.668350855,4,4,0.362573924,
꼬치구이,Cluster 1,0.763818342,0.015405523,11,2,0.424454758,
꼬치구이,Cluster 2,-2.800667255,-0.056486917,3,2,0.424454758,
농산물,Cluster 1,1.290455713,-0.226640547,25,4,0.442101131,
농산물,Cluster 2,-0.798836511,-0.532212672,23,4,0.442101131,
농산물,Cluster 3,-0.095450518,2.404835877,8,4,0.442101131,
농산물,Cluster 4,-4.374849642,-0.443927291,3,4,0.442101131,
동남아/인도음식,Cluster 1,0.419225549,-0.026341473,30,2,0.737954131,
동남아/인도음식,Cluster 2,-6.28838324,0.39512209,2,2,0.737954131,
떡/한과 제조,Cluster 1,-0.722054558,1.595233496,6,4,0.402883135,
떡/한과 제조,Cluster 2,0.199600674,-0.851605143,10,4,0.402883135,
떡/한과 제조,Cluster 3,-2.590230855,-0.678413925,3,4,0.402883135,
떡/한과 제조,Cluster 4,2.526753295,0.244973057,4,4,0.402883135,
룸살롱/단란주점,Cluster 1,-2.849006498,-1.014022412,4,3,0.551512299,
룸살롱/단란주점,Cluster 2,1.016728245,-0.346390064,14,3,0.551512299,
룸살롱/단란주점,Cluster 3,-0.709542361,2.226387637,4,3,0.551512299,
반찬,Cluster 1,-1.466154407,0.036142818,10,2,0.376528946,
반찬,Cluster 2,1.22179534,-0.030119015,12,2,0.376528946,
백반/가정식,Cluster 1,0.498432579,-0.04398577,292,2,0.494601897,
백반/가정식,Cluster 2,-2.695228018,0.23784898,54,2,0.494601897,
베이커리,Cluster 1,1.046772393,-0.881140512,63,3,0.460510949,
베이커리,Cluster 2,-2.808793074,-0.797429816,22,3,0.460510949,
베이커리,Cluster 3,-0.068085461,1.197628003,61,3,0.460510949,
분식,Cluster 1,0.765210266,-0.004331023,104,2,0.460620176,
분식,Cluster 2,-2.210607436,0.012511843,36,2,0.460620176,
샌드위치/토스트,Cluster 1,-2.505558901,0.449776707,8,2,0.496750835,
샌드위치/토스트,Cluster 2,0.742387822,-0.133267172,27,2,0.496750835,
식료품,Cluster 1,-1.869205671,-0.202486483,44,2,0.392017303,
식료품,Cluster 2,0.721447803,0.078152677,114,2,0.392017303,
식품 제조,Cluster 1,0.562219869,-0.548582986,13,3,0.475711154,
식품 제조,Cluster 2,-2.988175784,-0.372300708,3,3,0.475711154,
식품 제조,Cluster 3,0.551889684,2.749493647,3,3,0.475711154,
아이스크림/빙수,Cluster 1,-1.651848167,-0.706931417,18,4,0.51739308,
아이스크림/빙수,Cluster 2,0.84311492,-0.20409342,35,4,0.51739308,
아이스크림/빙수,Cluster 3,-2.936294551,2.86538688,3,4,0.51739308,
아이스크림/빙수,Cluster 4,1.806625694,2.254374915,5,4,0.51739308,
양식,Cluster 1,0.343908264,-0.126182687,161,2,0.599206091,
양식,Cluster 2,-3.691282038,1.354360842,15,2,0.599206091,
와인바,Cluster 1,0.242135113,0.090919033,29,2,0.733466306,
