가맹점구분번호,가맹점명,가맹점주소,가맹점지역,브랜드구분코드,업종,상권,개설일,폐업일,comp_intensity,market_churn_rate_4w,same_industry_sales_ratio,customer_fit_score,avg_survival_months,Δsales_4w,sales_volatility_4w,risk_score_xgb,pc1_x,pc2_y,cluster_id,n_clusters
16184E93D9,성우**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20130320,,2.993027121,-0.0111420613,0.94295302,5.434981416,671.5334262,-0.0125089587,0.0506624419,0.0012664951,1.7777843759997702,-1.4715850372582169,Cluster 2,154.0
4D039EA8B7,대보**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20131122,,2.993892226,-0.0139275766,0.810810811,10.6783755,669.6417827,-0.104116373,0.0621861056,0.0007562192,1.5968286436335224,-1.7757699773392706,Cluster 2,154.0
0074C4990A,대용**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20140512,,2.995790557,-0.0257234727,0.693857965,14.71639918,661.6311897,0.0137618579,0.0590504972,0.0028420894,-0.7529611932867053,-0.5175150294275234,Cluster 1,131.0
68308F2746,통일**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20151124,,2.993892226,-0.0138888889,0.931005819,76.49945163,669.6680556,0.111464236,0.0617510737,0.0015261852,1.797612878800533,0.8469404068150357,Cluster 2,154.0
4117EDDE9C,한울**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20151211,,2.995165656,-0.0252365931,1.398113208,22.55523944,661.9618297,0.0174225103,0.0118434976,0.035627563,-0.9420105767477862,0.8874090931665289,Cluster 1,131.0
281CA527F1,대광**,서울 성동구 마장동,서울 성동구,,축산물,마장동,20170222,,2.995596238,-0.0261437908,1.163708087,21.10233945,661.3457516,0.128408786,0.0853207557,0.043092158,-0.5343498525636127,0.6744120121460345,Cluster 1,131.0
9A71D71270,미림**,서울 성동구 마장동,서울 성동구,,식품 제조,마장동,20170817,,-0.729324957,-0.0111420613,1.212765957,90.81846834,671.5334262,-0.0125089587,0.0506624419,0.0014962158,1.0177211742018275,3.6441840058833113,Cluster 1,19.0
761947ABD9,호남*,서울 성동구 마장동,서울 성동구,,한식-육류/고기,마장동,20130531,,0.0599162693,-0.0262295082,0.360706861,13.45604169,661.287541,-0.000356881052,0.020954284,0.0031341163,-0.248658278645715,-1.2480788044754632,Cluster 1,358.0
145BA84596,고향***,서울 성동구 사근동,서울 성동구,,한식-찌개/전골,한양대,20140618,,0.564164815,-0.0415335463,1.193548387,13.00987504,650.8945687,0.0221382123,0.0645234985,0.010225484,-2.2363184073494224,-0.6097795300321431,Cluster 2,10.0
27C88660A5,북*,서울 성동구 송정동,서울 성동구,,중식당,장한평자동차,20141217,,-0.730409157,-0.0731707317,1.504761905,7.317594487,629.4097561,-0.000356881052,0.020954284,0.056014884,-6.546329948565976,1.2472148390895006,Cluster 2,14.0
