가맹점구분번호,상권,업종,risk_score_xgb
000F03E44A,뚝섬,중식-딤섬/중식만두,0.005966836
002816BA73,마장동,요리주점,0.001239708
003473B465,뚝섬,백반/가정식,0.001574841
003AC99735,답십리,커피전문점,0.001521296
0041E4E5AE,답십리,한식-찌개/전골,0.000184761
0050D68B18,성수,룸살롱/단란주점,0.001096751
00646B6673,왕십리,한식-냉면,0.018862171
0074C4990A,마장동,축산물,0.002842089
007BE37BA2,성수,한식-단품요리일반,0.6432382
00803E9174,성수,양식,0.017880974
80644746,,,0.003209908
00A2CF886A,왕십리,일반 유흥주점,0.004380816
00BC189C4B,뚝섬,한식-해물/생선,0.020746956
00CEAAD71A,왕십리,포장마차,0.003404772
00DA1813DE,뚝섬,청과물,0.000920754
00F54829E1,왕십리,카페,0.004268488
00F733C995,성수,한식-육류/고기,0.000782324
00FDB35E9C,한양대,카페,0.007459341
011E53BB76,왕십리,백반/가정식,0.006163782
012A64A73B,왕십리,포장마차,0.004824009
014A6A2154,왕십리,백반/가정식,0.000708811
01670CF403,한양대,베이커리,0.001387591
016C67D6C6,뚝섬,양식,0.16270053
01744C5370,성수,한식-단품요리일반,0.016883709
0174C56C09,성수,식료품,0.001743801
018DD7E495,금남시장,중식당,0.015249874
019E31E4C6,성수,양식,0.009426431
01AAD3CFFA,왕십리,식료품,0.003799239
01AB37892D,마장동,축산물,0.020182371
01B82F195A,금남시장,호프/맥주,0.005593679
01CCBE28E0,왕십리,양식,0.002363184
01D70FA491,성수,한식-국수/만두,0.0156355
01DB89157C,한양대,햄버거,0.000922825
01EBAA3D0F,뚝섬,샌드위치/토스트,0.019771347
01EDD97C21,장한평자동차,커피전문점,0.059652545
01F74A3D59,성수,치킨,0.019929087
01FD0FCC3D,뚝섬,카페,0.005043638
01FDC9FAEA,성수,포장마차,0.001854801
02080D3457,금남시장,양식,0.009463267
0220D6AA93,왕십리,카페,0.003454699
022FF198C7,답십리,한식-국수/만두,0.002134697
023652A43E,성수,한식-해물/생선,0.006971344
02377784A1,마장동,축산물,0.011888409
0239C4D2D3,성수,백반/가정식,0.005727555
0255C174CC,왕십리,한식-육류/고기,0.007625835
025B95F178,뚝섬,중식당,0.023037683
02621706D5,왕십리,식료품,0.004491166
026EBC2ED1,뚝섬,동남아/인도음식,0.029480206
02826B57BE,마장동,축산물,0.001582973
0286E31425,신금호,백반/가정식,0.000912912
02886FCA36,뚝섬,이자카야,0.00988525
029F2B4A59,성수,카페,0.005511647
02A32AE992,왕십리,카페,0.030052433
02A5043FF7,왕십리,한식-육류/고기,0.060137473
02B146CDF2,왕십리,백반/가정식,0.002874327
02B9A2CC01,마장동,한식-육류/고기,0.002589288
02EECADFE6,뚝섬,카페,0.000327269
02FE4FD151,뚝섬,커피전문점,0.004650407
0305234DDB,성수,식료품,0.001649168
