,Unnamed: 0,기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,행정동,상권
0,0,20250801,0,11320514,28031.6675,924.6217,595.6001,814.0308,706.8495,779.746,804.1178999999998,1033.6684,1038.9804,1167.9018,1070.2239,1100.3527,892.8592999999998,656.0985,1503.9166,851.0114,516.8198,695.2798,959.2475,851.8215,927.6345,1216.2512,1011.2808,1251.4588,1239.6395,1372.509,1083.7147,777.777,2188.2547,,
1,1,20250801,0,11350580,24817.2292,1134.6529,456.9833,513.7066,599.0805,648.9944,821.7061,1145.4955,909.4141,959.8142,808.8694,867.8315,690.2895,587.0143,1344.5438,893.4258999999998,341.3569,508.8096,727.9533,800.3270999999999,949.0424,1181.0358,892.6559999999998,1060.0919,1010.4208,1049.0556,915.8415,733.4067,2265.4104,,
2,2,20250801,0,11710710,22792.4865,886.634,560.7774,639.2009,619.9432,680.5077,617.3848,959.3764,1262.9014,1318.4078,888.6417,794.5259,575.4836,376.2869,893.3292,752.8968999999998,461.5575,635.7174,722.3899,785.8912,762.0573,1116.4549,1139.5742,1099.5293,901.3726,808.5642,682.9727,497.4101,1352.697,,
3,3,20250801,0,11620525,17644.3957,412.2875,182.762,321.0082,546.2558,1104.6466,938.0761,912.2409,663.9906,767.4090999999999,583.6734,588.1462,472.9263,356.1283,623.0255,473.5862,207.8876,349.1069,700.9588,1279.2849,964.7436,745.6307,637.1485,664.059,544.1898,597.9962,490.2778,395.2094,1121.739,,
4,4,20250801,0,11440730,35788.444,1059.3924,662.5218,1085.5152,1056.6448,1293.9858,1519.1699,1678.7697,1286.9484,1465.2248,1247.5483,1144.3929,838.0965,621.3629,1136.1439,927.2732,520.8748,765.1423999999998,1776.3144,2245.1004,2001.996,1954.0015,1649.962,1591.5476,1443.0818,1331.4959,976.0807,659.9311,1849.9247,,
5,5,20250801,0,11110670,8776.0158,79.0869,54.9448,59.8829,352.7574,350.0055,354.478,409.2502,489.8226,480.1538,363.7847,391.7508,370.5935,226.5223,361.9023,66.6175,32.7032,76.03879999999998,327.3888,332.7806,282.0575,383.9269,396.1139,476.3673,455.8373,465.1565,368.3763,252.8045,514.911,,
6,6,20250801,0,11680750,18274.6724,651.7812,207.3845,337.3002,304.9571,389.8945,639.0004,761.9555,818.812,831.0646,751.5149,624.6425,532.7952,515.1718,1131.2544,591.206,205.2002,279.0947,409.3197,726.9829999999998,808.8079,845.8882,623.0289,769.3682,629.528,601.3949,571.9564,625.6418,2089.7238,,
7,7,20250801,0,11710650,35946.3855,1116.8863,580.4695,953.6267,1001.4177,1697.5372,1936.2562,1918.7815,1485.3273,1605.0376,1348.0748,1023.4815,773.4815,595.2441,1194.2795,979.6086,499.1336,860.3821,1412.754,1848.1468,1920.516,1937.073,1711.6984,1624.0445,1306.1936,1114.3513,924.4178,735.1287999999998,1843.0351,,
8,8,20250801,0,11320515,15903.257,430.9976,206.6141,451.9273,396.1795,517.5506,482.0647,678.3026,613.0638,547.6329,488.0942,615.1754,496.7943,382.3852,897.7757,552.3524,270.9094,395.3528,567.7203,560.737,612.1448,648.8911,553.1536,543.5635,628.3925,794.8655999999999,644.5284,523.4267,1402.6611,,
9,9,20250801,0,11440590,25068.9851,1232.5252,553.2129,639.4709,497.944,616.9948,783.71,1202.6454,1219.1293,1226.1884,956.2847,902.2607,520.0455,425.475,730.4127999999998,1361.4041,591.575,569.5803,668.2799,750.6354,943.521,1410.2289,1403.8444,1357.7111,957.4481,853.0093,681.5801,542.1138,1471.7548,,
